order_id,date,time,time_bucket
1,01/01/2015,11:38:36,Lunch
2,01/01/2015,11:57:40,Lunch
3,01/01/2015,12:12:28,Lunch
4,01/01/2015,12:16:31,Lunch
5,01/01/2015,12:21:30,Lunch
6,01/01/2015,12:29:36,Lunch
7,01/01/2015,12:50:37,Lunch
8,01/01/2015,12:51:37,Lunch
9,01/01/2015,12:52:01,Lunch
10,01/01/2015,13:00:15,Lunch
11,01/01/2015,13:02:59,Lunch
12,01/01/2015,13:04:41,Lunch
13,01/01/2015,13:11:55,Lunch
14,01/01/2015,13:14:19,Lunch
15,01/01/2015,13:33:00,Lunch
16,01/01/2015,13:34:07,Lunch
17,01/01/2015,13:53:00,Lunch
18,01/01/2015,13:57:08,Lunch
19,01/01/2015,13:59:09,Lunch
20,01/01/2015,14:03:08,Lunch
21,01/01/2015,14:14:29,Lunch
22,01/01/2015,14:16:26,Lunch
23,01/01/2015,14:19:03,Lunch
24,01/01/2015,14:23:01,Lunch
25,01/01/2015,14:44:44,Lunch
26,01/01/2015,14:54:26,Lunch
27,01/01/2015,15:11:17,Afternoon
28,01/01/2015,15:35:46,Afternoon
29,01/01/2015,15:41:01,Afternoon
30,01/01/2015,15:41:25,Afternoon
31,01/01/2015,15:50:18,Afternoon
32,01/01/2015,15:53:18,Afternoon
33,01/01/2015,15:54:08,Afternoon
34,01/01/2015,16:21:21,Afternoon
35,01/01/2015,16:32:04,Afternoon
36,01/01/2015,16:54:09,Afternoon
37,01/01/2015,16:56:09,Afternoon
38,01/01/2015,17:03:00,Afternoon
39,01/01/2015,17:07:23,Afternoon
40,01/01/2015,17:14:36,Afternoon
41,01/01/2015,17:15:20,Afternoon
42,01/01/2015,17:28:09,Afternoon
43,01/01/2015,17:38:34,Afternoon
44,01/01/2015,17:54:20,Afternoon
45,01/01/2015,17:55:48,Afternoon
46,01/01/2015,18:25:51,Dinner
47,01/01/2015,18:26:34,Dinner
48,01/01/2015,18:26:42,Dinner
49,01/01/2015,18:33:00,Dinner
50,01/01/2015,18:41:01,Dinner
51,01/01/2015,18:48:28,Dinner
52,01/01/2015,18:53:02,Dinner
53,01/01/2015,18:54:17,Dinner
54,01/01/2015,19:01:45,Dinner
55,01/01/2015,19:03:19,Dinner
56,01/01/2015,19:07:00,Dinner
57,01/01/2015,19:10:51,Dinner
58,01/01/2015,19:30:40,Dinner
59,01/01/2015,19:40:08,Dinner
60,01/01/2015,20:05:16,Dinner
61,01/01/2015,20:08:43,Dinner
62,01/01/2015,20:50:16,Dinner
63,01/01/2015,20:51:42,Dinner
64,01/01/2015,20:52:08,Dinner
65,01/01/2015,21:16:00,Dinner
66,01/01/2015,21:47:55,Dinner
67,01/01/2015,22:03:40,Dinner
68,01/01/2015,22:07:32,Dinner
69,01/01/2015,22:12:13,Dinner
70,02/01/2015,11:38:51,Lunch
71,02/01/2015,11:40:50,Lunch
72,02/01/2015,11:57:25,Lunch
73,02/01/2015,11:58:56,Lunch
74,02/01/2015,12:01:12,Lunch
75,02/01/2015,12:10:15,Lunch
76,02/01/2015,12:21:17,Lunch
77,02/01/2015,12:22:46,Lunch
78,02/01/2015,12:28:14,Lunch
79,02/01/2015,12:29:11,Lunch
80,02/01/2015,12:35:38,Lunch
81,02/01/2015,12:40:01,Lunch
82,02/01/2015,12:45:51,Lunch
83,02/01/2015,12:53:27,Lunch
84,02/01/2015,13:13:41,Lunch
85,02/01/2015,13:34:49,Lunch
86,02/01/2015,13:40:31,Lunch
87,02/01/2015,14:01:02,Lunch
88,02/01/2015,14:10:08,Lunch
89,02/01/2015,14:30:19,Lunch
90,02/01/2015,15:08:48,Afternoon
91,02/01/2015,15:14:43,Afternoon
92,02/01/2015,15:17:02,Afternoon
93,02/01/2015,15:29:31,Afternoon
94,02/01/2015,16:17:16,Afternoon
95,02/01/2015,16:18:04,Afternoon
96,02/01/2015,16:21:20,Afternoon
97,02/01/2015,16:45:33,Afternoon
98,02/01/2015,17:18:18,Afternoon
99,02/01/2015,17:45:42,Afternoon
100,02/01/2015,17:46:17,Afternoon
101,02/01/2015,17:51:33,Afternoon
102,02/01/2015,17:54:04,Afternoon
103,02/01/2015,18:02:09,Dinner
104,02/01/2015,18:02:12,Dinner
105,02/01/2015,18:12:01,Dinner
106,02/01/2015,18:12:13,Dinner
107,02/01/2015,18:25:09,Dinner
108,02/01/2015,18:25:25,Dinner
109,02/01/2015,18:27:50,Dinner
110,02/01/2015,18:36:19,Dinner
111,02/01/2015,18:38:01,Dinner
112,02/01/2015,18:41:40,Dinner
113,02/01/2015,18:50:21,Dinner
114,02/01/2015,18:59:32,Dinner
115,02/01/2015,19:05:17,Dinner
116,02/01/2015,19:18:49,Dinner
117,02/01/2015,19:23:02,Dinner
118,02/01/2015,19:26:59,Dinner
119,02/01/2015,19:32:29,Dinner
120,02/01/2015,19:35:07,Dinner
121,02/01/2015,19:38:48,Dinner
122,02/01/2015,19:50:19,Dinner
123,02/01/2015,20:12:09,Dinner
124,02/01/2015,20:12:34,Dinner
125,02/01/2015,20:31:06,Dinner
126,02/01/2015,20:53:42,Dinner
127,02/01/2015,20:58:23,Dinner
128,02/01/2015,21:05:06,Dinner
129,02/01/2015,21:13:02,Dinner
130,02/01/2015,21:14:55,Dinner
131,02/01/2015,21:33:10,Dinner
132,02/01/2015,21:42:45,Dinner
133,02/01/2015,22:00:17,Dinner
134,02/01/2015,22:13:24,Dinner
135,02/01/2015,22:29:34,Dinner
136,02/01/2015,22:32:49,Dinner
137,03/01/2015,11:34:10,Lunch
138,03/01/2015,11:44:50,Lunch
139,03/01/2015,11:57:39,Lunch
140,03/01/2015,12:26:44,Lunch
141,03/01/2015,13:16:01,Lunch
142,03/01/2015,13:33:59,Lunch
143,03/01/2015,13:41:36,Lunch
144,03/01/2015,13:44:28,Lunch
145,03/01/2015,13:53:48,Lunch
146,03/01/2015,14:22:10,Lunch
147,03/01/2015,14:32:51,Lunch
148,03/01/2015,14:40:42,Lunch
149,03/01/2015,14:48:45,Lunch
150,03/01/2015,14:49:58,Lunch
151,03/01/2015,15:09:34,Afternoon
152,03/01/2015,15:09:42,Afternoon
153,03/01/2015,15:16:34,Afternoon
154,03/01/2015,15:22:43,Afternoon
155,03/01/2015,15:28:59,Afternoon
156,03/01/2015,15:42:19,Afternoon
157,03/01/2015,15:43:03,Afternoon
158,03/01/2015,15:54:30,Afternoon
159,03/01/2015,15:59:22,Afternoon
160,03/01/2015,16:35:33,Afternoon
161,03/01/2015,16:43:46,Afternoon
162,03/01/2015,16:51:22,Afternoon
163,03/01/2015,16:54:54,Afternoon
164,03/01/2015,16:56:33,Afternoon
165,03/01/2015,16:57:37,Afternoon
166,03/01/2015,16:58:51,Afternoon
167,03/01/2015,17:00:49,Afternoon
168,03/01/2015,17:02:27,Afternoon
169,03/01/2015,17:15:48,Afternoon
170,03/01/2015,17:21:31,Afternoon
171,03/01/2015,17:23:03,Afternoon
172,03/01/2015,17:29:24,Afternoon
173,03/01/2015,17:35:30,Afternoon
174,03/01/2015,17:37:49,Afternoon
175,03/01/2015,17:50:51,Afternoon
176,03/01/2015,17:51:57,Afternoon
177,03/01/2015,17:54:36,Afternoon
178,03/01/2015,18:15:03,Dinner
179,03/01/2015,18:20:14,Dinner
180,03/01/2015,18:33:34,Dinner
181,03/01/2015,18:49:32,Dinner
182,03/01/2015,18:50:10,Dinner
183,03/01/2015,18:54:55,Dinner
184,03/01/2015,18:59:05,Dinner
185,03/01/2015,19:08:33,Dinner
186,03/01/2015,19:36:00,Dinner
187,03/01/2015,19:37:12,Dinner
188,03/01/2015,20:08:39,Dinner
189,03/01/2015,20:12:14,Dinner
190,03/01/2015,20:14:23,Dinner
191,03/01/2015,20:24:50,Dinner
192,03/01/2015,20:30:08,Dinner
193,03/01/2015,20:55:47,Dinner
194,03/01/2015,21:21:24,Dinner
195,03/01/2015,21:25:20,Dinner
196,03/01/2015,21:40:14,Dinner
197,03/01/2015,21:47:48,Dinner
198,03/01/2015,21:55:42,Dinner
199,03/01/2015,22:10:38,Dinner
200,03/01/2015,22:24:05,Dinner
201,03/01/2015,22:29:59,Dinner
202,03/01/2015,22:50:29,Dinner
203,04/01/2015,11:30:48,Lunch
204,04/01/2015,11:36:25,Lunch
205,04/01/2015,11:43:54,Lunch
206,04/01/2015,11:45:10,Lunch
207,04/01/2015,12:03:58,Lunch
208,04/01/2015,12:12:05,Lunch
209,04/01/2015,12:29:17,Lunch
210,04/01/2015,12:34:13,Lunch
211,04/01/2015,12:54:20,Lunch
212,04/01/2015,13:16:03,Lunch
213,04/01/2015,13:20:39,Lunch
214,04/01/2015,13:39:16,Lunch
215,04/01/2015,13:44:49,Lunch
216,04/01/2015,14:31:56,Lunch
217,04/01/2015,14:35:03,Lunch
218,04/01/2015,14:35:11,Lunch
219,04/01/2015,14:42:01,Lunch
220,04/01/2015,15:31:59,Afternoon
221,04/01/2015,15:33:18,Afternoon
222,04/01/2015,15:46:38,Afternoon
223,04/01/2015,16:08:20,Afternoon
224,04/01/2015,16:39:58,Afternoon
225,04/01/2015,16:41:48,Afternoon
226,04/01/2015,16:59:39,Afternoon
227,04/01/2015,17:24:39,Afternoon
228,04/01/2015,17:31:24,Afternoon
229,04/01/2015,17:37:57,Afternoon
230,04/01/2015,17:58:38,Afternoon
231,04/01/2015,18:04:18,Dinner
232,04/01/2015,18:21:59,Dinner
233,04/01/2015,18:26:51,Dinner
234,04/01/2015,18:36:09,Dinner
235,04/01/2015,18:51:30,Dinner
236,04/01/2015,19:21:04,Dinner
237,04/01/2015,19:27:48,Dinner
238,04/01/2015,19:45:15,Dinner
239,04/01/2015,19:57:52,Dinner
240,04/01/2015,20:10:24,Dinner
241,04/01/2015,20:11:25,Dinner
242,04/01/2015,20:15:29,Dinner
243,04/01/2015,20:26:17,Dinner
244,04/01/2015,20:26:22,Dinner
245,04/01/2015,20:28:41,Dinner
246,04/01/2015,20:30:48,Dinner
247,04/01/2015,20:55:29,Dinner
248,04/01/2015,20:58:19,Dinner
249,04/01/2015,21:06:16,Dinner
250,04/01/2015,21:07:05,Dinner
251,04/01/2015,21:10:05,Dinner
252,04/01/2015,22:13:15,Dinner
253,04/01/2015,22:16:18,Dinner
254,04/01/2015,22:22:13,Dinner
255,05/01/2015,11:23:35,Lunch
256,05/01/2015,11:56:06,Lunch
257,05/01/2015,11:59:04,Lunch
258,05/01/2015,11:59:23,Lunch
259,05/01/2015,12:04:25,Lunch
260,05/01/2015,12:06:27,Lunch
261,05/01/2015,12:38:29,Lunch
262,05/01/2015,12:42:01,Lunch
